Specialty	Year	Class	Name	Value
Child Neurology	2013	PGY1	MD Senior Matches	64
Child Neurology	2013	PGY1	Total Matches	102
Child Neurology	2014	PGY1	Positions Offered	92
Child Neurology	2014	PGY1	MD Senior Applicants	88
Child Neurology	2014	PGY1	Total Applicants	177
Child Neurology	2014	PGY1	MD Senior Matches	66
Child Neurology	2014	PGY1	Total Matches	80
Child Neurology	2015	PGY1	Positions Offered	104
Child Neurology	2015	PGY1	MD Senior Applicants	86
Child Neurology	2015	PGY1	Total Applicants	169
Child Neurology	2015	PGY1	MD Senior Matches	73
Child Neurology	2015	PGY1	Total Matches	95
Child Neurology	2016	PGY1	Positions Offered	116
Child Neurology	2016	PGY1	MD Senior Applicants	111
Child Neurology	2016	PGY1	Total Applicants	185
Child Neurology	2016	PGY1	MD Senior Matches	90
Child Neurology	2016	PGY1	Total Matches	109
Child Neurology	2017	PGY1	Positions Offered	128
Child Neurology	2017	PGY1	MD Senior Applicants	118
Child Neurology	2017	PGY1	Total Applicants	205
Child Neurology	2017	PGY1	MD Senior Matches	97
Child Neurology	2017	PGY1	Total Matches	119
Child Neurology	2018	PGY1	Positions Offered	134
Child Neurology	2018	PGY1	MD Senior Applicants	113
Child Neurology	2018	PGY1	Total Applicants	192
Child Neurology	2018	PGY1	MD Senior Matches	101
Child Neurology	2018	PGY1	Total Matches	129
Child Neurology	2019	PGY1	Positions Offered	145
Child Neurology	2019	PGY1	MD Senior Applicants	114
Child Neurology	2019	PGY1	Total Applicants	205
Child Neurology	2019	PGY1	MD Senior Matches	102
Child Neurology	2019	PGY1	Total Matches	133
Child Neurology	2020	PGY1	Positions Offered	159
Child Neurology	2020	PGY1	MD Senior Applicants	123
Child Neurology	2020	PGY1	Total Applicants	213
Child Neurology	2020	PGY1	MD Senior Matches	111
Child Neurology	2020	PGY1	Total Matches	151
Child Neurology	2021	PGY1	Positions Offered	159
Child Neurology	2021	PGY1	MD Senior Applicants	109
Child Neurology	2021	PGY1	Total Applicants	218
Child Neurology	2021	PGY1	MD Senior Matches	100
Child Neurology	2021	PGY1	Total Matches	147
Child Neurology	2022	PGY1	Positions Offered	166
Child Neurology	2022	PGY1	MD Senior Applicants	118
Child Neurology	2022	PGY1	Total Applicants	231
Child Neurology	2022	PGY1	MD Senior Matches	102
Child Neurology	2022	PGY1	Total Matches	150
Child Neurology	2012	PGY2	Positions Offered	47
Child Neurology	2012	PGY2	MD Senior Applicants	76
Child Neurology	2012	PGY2	Total Applicants	113
Child Neurology	2012	PGY2	MD Senior Matches	23
Child Neurology	2012	PGY2	Total Matches	35
Child Neurology	2013	PGY2	Positions Offered	37
Child Neurology	2013	PGY2	MD Senior Applicants	65
Child Neurology	2013	PGY2	Total Applicants	122
Child Neurology	2013	PGY2	MD Senior Matches	14
Child Neurology	2013	PGY2	Total Matches	26
Child Neurology	2014	PGY2	Positions Offered	28
Child Neurology	2014	PGY2	MD Senior Applicants	54
Child Neurology	2014	PGY2	Total Applicants	111
Child Neurology	2014	PGY2	MD Senior Matches	11
Child Neurology	2014	PGY2	Total Matches	20
Child Neurology	2015	PGY2	Positions Offered	24
Child Neurology	2015	PGY2	MD Senior Applicants	44
Child Neurology	2015	PGY2	Total Applicants	100
Child Neurology	2015	PGY2	MD Senior Matches	7
Child Neurology	2015	PGY2	Total Matches	17
Child Neurology	2016	PGY2	Positions Offered	18
Child Neurology	2016	PGY2	MD Senior Applicants	63
Child Neurology	2016	PGY2	Total Applicants	104
Child Neurology	2016	PGY2	MD Senior Matches	8
Child Neurology	2016	PGY2	Total Matches	16
Child Neurology	2017	PGY2	Positions Offered	11
Child Neurology	2017	PGY2	MD Senior Applicants	61
Child Neurology	2017	PGY2	Total Applicants	91
Child Neurology	2017	PGY2	MD Senior Matches	5
Child Neurology	2017	PGY2	Total Matches	9
